"","VTI","EFA","VWO","SPY","IJH","IWM","EWU","VGK","EWJ","AXJL","GXC"
"VTI",0.000115664980054266,0.000105746742470608,0.000163655762763705,0.000112642963247826,0.000112333763568848,0.000131800161202605,0.000112077220895874,0.000112083958221031,8.4065946349061e-05,0.000140195721160074,0.00018356360025774
"EFA",0.000105746742470608,0.000154427164066643,0.000190552720815654,0.000105383350810096,0.000105445312339744,0.000115784769705707,0.000157334613944421,0.000159443793192741,0.000122701833847506,0.000166708849391129,0.000204526245841178
"VWO",0.000163655762763705,0.000190552720815654,0.000341722158841014,0.000160778927882542,0.000161084358998871,0.000184002741115242,0.000200011849297702,0.000193476790556345,0.000152120262327926,0.000280495597304257,0.000388347240372511
"SPY",0.000112642963247826,0.000105383350810096,0.000160778927882542,0.000111904372074829,0.000109119922294081,0.000127476449565712,0.00011221763359592,0.00011087500730397,8.33191315913817e-05,0.000136458325829004,0.000179300633792495
"IJH",0.000112333763568848,0.000105445312339744,0.000161084358998871,0.000109119922294081,0.000117649695918946,0.000134429676875806,0.00011158009972468,0.000110945012555812,8.40748319495553e-05,0.000138684725205521,0.00017946562450627
"IWM",0.000131800161202605,0.000115784769705707,0.000184002741115242,0.000127476449565712,0.000134429676875806,0.000172212396194024,0.000124250033035545,0.000121569294087214,9.5837263193148e-05,0.000159574658680925,0.000212529137938016
"EWU",0.000112077220895874,0.000157334613944421,0.000200011849297702,0.00011221763359592,0.00011158009972468,0.000124250033035545,0.000187907036951481,0.000167118223887944,0.000114484343352004,0.000169205392408497,0.000207540718936764
"VGK",0.000112083958221031,0.000159443793192741,0.000193476790556345,0.00011087500730397,0.000110945012555812,0.000121569294087214,0.000167118223887944,0.000173302020972537,0.000114348718240836,0.000161608834226379,0.00019409908332589
"EWJ",8.4065946349061e-05,0.000122701833847506,0.000152120262327926,8.33191315913817e-05,8.40748319495553e-05,9.5837263193148e-05,0.000114484343352004,0.000114348718240836,0.000142964016528977,0.000147543325354786,0.000190164917127414
"AXJL",0.000140195721160074,0.000166708849391129,0.000280495597304257,0.000136458325829004,0.000138684725205521,0.000159574658680925,0.000169205392408497,0.000161608834226379,0.000147543325354786,0.00029000025744388,0.000362466342905726
"GXC",0.00018356360025774,0.000204526245841178,0.000388347240372511,0.000179300633792495,0.00017946562450627,0.000212529137938016,0.000207540718936764,0.00019409908332589,0.000190164917127414,0.000362466342905726,0.000597665682984547
