"","VTI","EFA","VWO","SPY","IJH","IWM","EWU","VGK","EWJ","AXJL","GXC"
"VTI",0.000654184993303821,0.000713076640132997,0.000920658609032975,0.000659074957010053,0.000680817803822582,0.000718193470164218,0.000725086242840462,0.000707901105730336,0.000613315510857667,0.000728014080280786,0.00095537740113363
"EFA",0.000713076640132997,0.000883006692221999,0.00108851753491044,0.000732465731244331,0.000734236544920284,0.000766882854555696,0.000895212871376802,0.000867028615649403,0.000756687394380111,0.000868399607473074,0.00113640523975788
"VWO",0.000920658609032975,0.00108851753491044,0.00156517415037594,0.000935174125011538,0.00095388948242129,0.000996680751197976,0.00110995107212454,0.00108152268063345,0.000929374524661954,0.001129232277129,0.00158013759744844
"SPY",0.000659074957010053,0.000732465731244331,0.000935174125011538,0.000679884325922634,0.000684796166878552,0.000719918531633533,0.000752064581212625,0.000724623949176828,0.000633658019688507,0.000745191846460586,0.000978795312487318
"IJH",0.000680817803822582,0.000734236544920284,0.00095388948242129,0.000684796166878552,0.000754852307333714,0.00079678084044573,0.000751942562895648,0.000734225996435836,0.000624665453570076,0.000758964818180205,0.000999156930858154
"IWM",0.000718193470164218,0.000766882854555696,0.000996680751197976,0.000719918531633533,0.00079678084044573,0.000895781790778556,0.000780248151638225,0.000767879774509589,0.000648813138946393,0.000799092180258292,0.00107072606653069
"EWU",0.000725086242840462,0.000895212871376802,0.00110995107212454,0.000752064581212625,0.000751942562895648,0.000780248151638225,0.00100035418834657,0.000897825806506649,0.000743127590843119,0.000864678547394372,0.00114597501028815
"VGK",0.000707901105730336,0.000867028615649403,0.00108152268063345,0.000724623949176828,0.000734225996435836,0.000767879774509589,0.000897825806506649,0.000898388244105275,0.000715290816442554,0.000847308217233538,0.00108992335082039
"EWJ",0.000613315510857667,0.000756687394380111,0.000929374524661954,0.000633658019688507,0.000624665453570076,0.000648813138946393,0.000743127590843119,0.000715290816442554,0.000753579958552775,0.000735338777715848,0.00100295354930593
"AXJL",0.000728014080280786,0.000868399607473074,0.001129232277129,0.000745191846460586,0.000758964818180205,0.000799092180258292,0.000864678547394372,0.000847308217233538,0.000735338777715848,0.00104823324224749,0.00122355833772098
"GXC",0.00095537740113363,0.00113640523975788,0.00158013759744844,0.000978795312487318,0.000999156930858154,0.00107072606653069,0.00114597501028815,0.00108992335082039,0.00100295354930593,0.00122355833772098,0.0019128753201889
