"","VTI","EFA","VWO","SPY","IJH","IWM","EWU","VGK","EWJ","AXJL","GXC"
"VTI",0.000112246780174656,0.000127617124908769,0.000134505370935719,0.000107774908482487,0.000126261778006421,0.00014035707872954,0.00012329734320681,0.000146951037094962,8.5103032239193e-05,0.0001194351410994,0.000129747075260161
"EFA",0.000127617124908769,0.000179312153568537,0.000174325540550877,0.000124017542966884,0.00014068862976375,0.000155444977040746,0.000170319367414897,0.000203334394594191,0.000123763100232105,0.000158827638998458,0.000166307262825272
"VWO",0.000134505370935719,0.000174325540550877,0.000220023046888527,0.000130280030387008,0.00015118910781876,0.000165259360689377,0.000167738405046331,0.000200187618636241,0.000116109634369261,0.000186834929078041,0.000210792748015544
"SPY",0.000107774908482487,0.000124017542966884,0.000130280030387008,0.00010508913897304,0.000120300450544072,0.000133103716413321,0.000119737537898073,0.000142495804355271,8.23217567004747e-05,0.000115442378611987,0.000126070347345901
"IJH",0.000126261778006421,0.00014068862976375,0.00015118910781876,0.000120300450544072,0.000151748011246958,0.000167258002569762,0.000136124342453156,0.000160968562192072,9.3833218217878e-05,0.000135288745617672,0.000147538034166412
"IWM",0.00014035707872954,0.000155444977040746,0.000165259360689377,0.000133103716413321,0.000167258002569762,0.000196924060763567,0.000149117688788652,0.000178307691251966,0.00010465708261282,0.000147046178301307,0.000160821936200174
"EWU",0.00012329734320681,0.000170319367414897,0.000167738405046331,0.000119737537898073,0.000136124342453156,0.000149117688788652,0.000182399919616032,0.000196418061297385,0.000106304938444574,0.000152296312744953,0.000159725393597991
"VGK",0.000146951037094962,0.000203334394594191,0.000200187618636241,0.000142495804355271,0.000160968562192072,0.000178307691251966,0.000196418061297385,0.000248122283338293,0.000127046454790393,0.000178229765619368,0.000186279488014315
"EWJ",8.5103032239193e-05,0.000123763100232105,0.000116109634369261,8.23217567004747e-05,9.3833218217878e-05,0.00010465708261282,0.000106304938444574,0.000127046454790393,0.000137145683519375,0.000106838004504099,0.000112351073149673
"AXJL",0.0001194351410994,0.000158827638998458,0.000186834929078041,0.000115442378611987,0.000135288745617672,0.000147046178301307,0.000152296312744953,0.000178229765619368,0.000106838004504099,0.000199528872733706,0.000187719902746537
"GXC",0.000129747075260161,0.000166307262825272,0.000210792748015544,0.000126070347345901,0.000147538034166412,0.000160821936200174,0.000159725393597991,0.000186279488014315,0.000112351073149673,0.000187719902746537,0.000246445820434675
