Date,NPGDP,GDP,RPGDP,RGDP,SHPESPX500,CPITOT
01/04/1969,1000,1020,,4700,61.11,
01/07/1969,1007,1032,4607,4736.1,55.5,5.619
01/10/1969,1029,1040.7,4650,4715.5,54.2,5.932
01/01/1970,1052,1053.5,4692,4707.1,50,6.047
01/04/1970,1077,1070.1,4733,4715.4,43.7,6.038
01/07/1970,1095,1088.5,4772,4757.2,42.7,5.681
01/10/1970,1118,1091.5,4811,4708.3,45.9,5.6
01/01/1971,1144,1137.8,4850,4834.3,50.9,5
01/04/1971,1168,1159.4,4888,4861.9,52.6,4.4
01/07/1971,1189,1180.3,4925,4900,50.3,4.352
01/10/1971,1208,1193.6,4963,4914.3,48.7,3.451
01/01/1972,1238,1233.8,5002,5002.4,52.5,3.425
01/04/1972,1255,1270.1,5041,5118.3,53.2,3.14
01/07/1972,1276,1293.8,5081,5165.4,53,3.025
01/10/1972,1301,1332,5122,5251.2,54.5,3.499
01/01/1973,1328,1380.7,5165,5380.5,54,4.039
01/04/1973,1362,1417.6,5209,5441.5,49.1,5.529
01/07/1973,1400,1436.8,5255,5411.9,46.7,6.825
01/10/1973,1436,1479.1,5302,5462.4,44.1,8.255
01/01/1974,1479,1494.7,5351,5417,39.8,9.938
01/04/1974,1526,1534.2,5400,5431.3,36.4,10.554
01/07/1974,1588,1563.4,5451,5378.7,28.9,11.441
01/10/1974,1651,1603,5501,5357.2,26,12.2
01/01/1975,1703,1619.6,5551,5292.4,28.8,11.088
01/04/1975,1743,1656.4,5599,5333.2,32.1,9.684
01/07/1975,1789,1713.8,5647,5421.4,30.9,8.733
01/10/1975,1834,1765.9,5694,5494.4,31,7.249
01/01/1976,1869,1824.5,5740,5618.5,34.4,6.357
01/04/1976,1903,1856.9,5786,5661,34.8,6.074
01/07/1976,1943,1890.5,5832,5689.8,35.2,5.518
01/10/1976,1991,1938.4,5880,5732.5,34.2,5.069
01/01/1977,2040,1992.5,5929,5799.2,33.4,5.858
01/04/1977,2090,2060.2,5979,5913,31.7,6.848
01/07/1977,2137,2122.4,6031,6017.6,30.9,6.682
01/10/1977,2192,2168.7,6084,6018.2,29.2,6.605
01/01/1978,2249,2208.7,6138,6039.2,27.2,6.606
01/04/1978,2313,2336.6,6196,6274,28.4,6.961
01/07/1978,2376,2398.9,6254,6335.3,29.4,7.952
01/10/1978,2446,2482.2,6312,6420.3,27.5,8.944
01/01/1979,2513,2531.6,6368,6433,27.3,9.746
01/04/1979,2595,2595.9,6422,6440.8,26.8,10.744
01/07/1979,2669,2670.4,6473,6487.1,27.1,11.756
01/10/1979,2741,2730.7,6520,6503.9,26,12.661
01/01/1980,2819,2796.5,6562,6524.9,26,14.286
01/04/1980,2896,2799.9,6597,6392.6,24.5,14.506
01/07/1980,2977,2860,6630,6382.9,27.2,12.867
01/10/1980,3076,2993.5,6662,6501.2,28.4,12.643
01/01/1981,3171,3131.8,6696,6635.7,27.2,11.233
01/04/1981,3246,3167.3,6734,6587.3,26.7,9.776
01/07/1981,3326,3261.2,6774,6662.9,24.4,10.84
01/10/1981,3408,3283.5,6818,6585.1,23.3,9.548
01/01/1982,3478,3273.8,6867,6475,21.5,7.593
01/04/1982,3547,3331.3,6918,6510.2,21.1,6.753
01/07/1982,3625,3367.1,6970,6486.8,20.7,5.774
01/10/1982,3692,3407.8,7024,6493.1,24.8,4.518
01/01/1983,3751,3480.3,7075,6578.2,26.9,3.599
01/04/1983,3803,3583.8,7126,6728.3,29.4,3.337
