"","VTI","EFA","VWO","SPY","IJH","IWM","EWU","VGK","EWJ","AXJL","GXC"
"VTI",0.000113738994224302,0.000111156299445926,0.00013402834672529,0.000113218817255413,0.000112642345054539,0.000119975987920931,0.000119148409307028,0.000109482905498811,0.000117372539621325,0.000110176270690175,0.000150368200732626
"EFA",0.000111156299445926,0.000140591351416574,0.00015725515100404,0.000111447370406714,0.000110237207029471,0.000115671966549643,0.000147078354993096,0.000138969055233757,0.000142941908238107,0.000136314254272718,0.000178649396016222
"VWO",0.00013402834672529,0.00015725515100404,0.000231172902181373,0.000132773164863928,0.000132494829110357,0.000139363100647775,0.000169069622476191,0.000155750443554315,0.000155886074137453,0.000185355367175547,0.000255216798374798
"SPY",0.000113218817255413,0.000111447370406714,0.000132773164863928,0.000114474536057254,0.000110778497297641,0.00011598429050033,0.000118544793319098,0.000109127013499934,0.000118656429782936,0.000109121019162523,0.000149937611864056
"IJH",0.000112642345054539,0.000110237207029471,0.000132494829110357,0.000110778497297641,0.000120492610784598,0.000128191604607039,0.000119029364102285,0.000108721139825142,0.000116878971337202,0.000108865015814542,0.000146764024068712
"IWM",0.000119975987920931,0.000115671966549643,0.000139363100647775,0.00011598429050033,0.000128191604607039,0.000149324620427802,0.000125314439128097,0.000115079125148652,0.000120886945460052,0.000117752324593609,0.000156758848160147
"EWU",0.000119148409307028,0.000147078354993096,0.000169069622476191,0.000118544793319098,0.000119029364102285,0.000125314439128097,0.000174767663629512,0.00015020938187613,0.000136392581880638,0.000145700254958663,0.000185573550578692
"VGK",0.000109482905498811,0.000138969055233757,0.000155750443554315,0.000109127013499934,0.000108721139825142,0.000115079125148652,0.00015020938187613,0.000146732620653169,0.000126837175169418,0.000132289298816799,0.000172996948305687
"EWJ",0.000117372539621325,0.000142941908238107,0.000155886074137453,0.000118656429782936,0.000116878971337202,0.000120886945460052,0.000136392581880638,0.000126837175169418,0.000193556385203815,0.0001342059548022,0.00018222965716223
"AXJL",0.000110176270690175,0.000136314254272718,0.000185355367175547,0.000109121019162523,0.000108865015814542,0.000117752324593609,0.000145700254958663,0.000132289298816799,0.0001342059548022,0.000195381421611589,0.000211403055306605
"GXC",0.000150368200732626,0.000178649396016222,0.000255216798374798,0.000149937611864056,0.000146764024068712,0.000156758848160147,0.000185573550578692,0.000172996948305687,0.00018222965716223,0.000211403055306605,0.000350432938766423
