Date,RPGDP,USRGDP,USRGDPUQ,USOGAP,USGDP,USMGDP,USCBBBEY,USCBBBBR,REAL10YTR,10YTR,2YTR,3YTR,3MTRNK,M1MS,VM1MSUS,TWUSDIB,USRPCE,USRDPI,USCIPI,USNHPUM,USTNP,USICUI,USMAWH,USPMI,SPECCDCI,SP500CAP,SP500D,SP500NM,SP500YD,VIX,S10Y3MTS,USCBBBBR,TEDS,USIR,IMRISKPR,IMEQPR5YR,IMEQPR5YDIF,CURVYCURV,GZSPREAD,EXCBONDPR,NBER
31/01/1991,8138900,8907400,0.006,0.094423079,6023300,,,,0.023785,0.0803,0.0705,0.073,0.0637,828400,7.326,,,6369.3,-0.004551,51.5,109001,462000,,39.2,,15.6059,12.1067,325.49,0.037195306,,0.0166,,87.25,0.056515,0.021748183,,,-0.0123,163.79,39.13,1
28/02/1991,8138900,8907400,0.006,0.094423079,6023300,,,,0.027075,0.0802,0.0704,0.0726,0.0622,832000,7.326,,,6379.4,-0.006595,54.1,108695,499000,,39.4,,17.3544,12.1133,362.26,0.033438138,,0.018,,83.5,0.053125,0.014350827,,,-0.012,145.28,30.21,1
31/03/1991,8195300,8865600,-0.009,0.081790783,6054900,,,,0.031549,0.0805,0.0702,0.073,0.0592,840200,7.27,,,6390.6,-0.005367,78.7,108535,499000,,40.7,,17.8183,12.12,372.28,0.032556141,,0.0213,,63.5,0.048951,-0.006706552,,,-0.0131,143.67,25.66,1
30/04/1991,8195300,8865600,-0.009,0.081790783,6054900,,,,0.031325,0.0802,0.068,0.0715,0.0568,841200,7.27,,,6412.7,0.002172,90.9,108324,462000,,42.8,,18.1555,12.13,379.68,0.031947956,,0.0234,,67.75,0.048875,-0.007117172,,,-0.0157,141.01,19.99,0
31/05/1991,8195300,8865600,-0.009,0.081790783,6054900,,,,0.031064,0.0806,0.0668,0.071,0.0571,849700,7.27,,,6412.9,0.009938,98.3,108196,443000,,44.5,,18.0356,12.14,377.99,0.032117252,,0.0235,,53.25,0.049536,-0.006659162,,,-0.018,136.04,20.11,0
30/06/1991,8250400,8934400,-0.005,0.082905071,6143600,,,,0.035441,0.0824,0.069,0.0733,0.0571,856100,7.232,,,6445.9,0.009287,93.2,108283,418000,,50.3,,18.0154,12.15,378.29,0.032118216,,0.0253,,64.75,0.046959,-0.006982677,,,-0.0177,132.54,8.94,0
31/07/1991,8250400,8934400,-0.005,0.082905071,6143600,,,,0.037521,0.082,0.0681,0.0721,0.057,862700,7.232,,,6432.8,0.000073,91.3,108236,423000,,50.6,,18.1041,12.1933,380.23,0.032068222,,0.025,,53.25,0.044479,-0.009193889,,,-0.0179,143.48,21.35,0
31/08/1991,8250400,8934400,-0.005,0.082905071,6143600,,,,0.040206,0.0782,0.0636,0.0668,0.0549,869100,7.232,,,6445,0.00137,84.9,108251,425000,,52.9,,18.5129,12.2367,389.4,0.031424499,,0.0233,,35.75,0.037994,-0.012750651,,,-0.0178,132.99,13.68,0
30/09/1991,8304900,8977300,-0.001,0.08096425,6218400,,,,0.040789,0.0747,0.0599,0.0628,0.0526,871800,7.18,,,6463.7,0.00863,80.6,108286,437000,,54.9,,18.3579,12.28,387.2,0.031714876,,0.0221,,51.5,0.033911,-0.009031431,,,-0.0177,142.2,15.67,0
31/10/1991,8304900,8977300,-0.001,0.08096425,6218400,,,,0.045487,0.0747,0.057,0.0606,0.0496,880800,7.18,,,6474,-0.00224,89.8,108298,423000,,53.1,,18.3498,12.2533,386.88,0.031672095,,0.0251,,43,0.029213,-0.013922266,,,-0.0213,139.87,16.22,0
30/11/1991,8304900,8977300,-0.001,0.08096425,6218400,,,,0.043905,0.0738,0.0538,0.0576,0.0447,887400,7.18,,,6486.7,-0.000955,67.1,108240,444000,,49.5,,18.2895,12.2267,385.92,0.031681955,,0.0291,,65,0.029895,-0.012308542,,,-0.0238,138.75,18.94,0
31/12/1991,8359100,9016400,0.012,0.078632867,6279300,,,,0.036457,0.0671,0.0477,0.0511,0.0396,897500,7.075,,,6546.2,-0.003812,68.5,108263,441000,,46.8,,18.4423,12.2,388.51,0.031402023,,0.0275,,37,0.030643,0.008295647,,,-0.0228,156.84,20.06,0
31/01/1992,8359100,9016400,0.012,0.078632867,6279300,,,,0.047097,0.0731,0.0511,0.0565,0.0394,918200,7.075,,,6616.3,-0.006169,67.9,108312,441000,,47.3,,19.7738,12.24,416.08,0.02941742,,0.0337,,34.75,0.026003,-0.004552451,,,-0.0274,136.81,7.54,0
29/02/1992,8359100,9016400,0.012,0.078632867,6279300,,,,0.04451,0.0727,0.0527,0.0575,0.0403,928600,7.075,,,6649.9,0.007279,72.6,108246,444000,,52.7,,19.5837,12.28,412.56,0.029765367,,0.0324,,32,0.02819,-0.001538293,,,-0.0248,130.03,12.23,0
31/03/1992,8413200,9123000,0.029,0.084367423,6380800,,,,0.043548,0.0754,0.056,0.0617,0.0415,939700,6.905,,,6659.6,0.008732,97.7,108296,420000,,54.6,,19.2842,12.32,407.36,0.030243519,,0.0339,,31.719,0.031852,0.017563834,,,-0.0251,123.93,7.55,0
30/04/1992,8413200,9123000,0.029,0.084367423,6380800,6270.066,,,0.044295,0.0761,0.0546,0.0605,0.0379,945600,6.905,,,6679.4,0.006953,103.9,108454,424000,,52.6,,19.3018,12.32,407.41,0.030239808,,0.0382,,36.25,0.031805,0.016811431,,,-0.0274,124.3,7.04,0
31/05/1992,8413200,9123000,0.029,0.084367423,6380800,6251.9252,,,0.043064,0.0733,0.0519,0.0575,0.0379,952300,6.905,,,6712.9,0.00339,97.1,108580,411000,,55.7,,19.6629,12.32,414.81,0.029700345,,0.0354,,36.25,0.030236,0.017421717,,,-0.027,124.76,3.07,0
30/06/1992,8467400,9223500,0.032,0.089295415,6492300,6363.6088,,,0.040518,0.0714,0.0483,0.0539,0.0365,955200,6.837,,,6741.7,-0.000229,109.2,108640,420000,,53.6,,19.316,12.32,408.27,0.030176109,,0.0349,,36.75,0.030882,0.023585464,,,-0.0287,121.81,1.3,0
31/07/1992,8467400,9223500,0.032,0.089295415,6492300,6383.1407,,,0.035629,0.0672,0.0442,0.0497,0.0325,966800,6.837,,,6736.8,0.008951,101.1,108711,564000,,53.9,,19.6214,12.3433,415.05,0.029739309,,0.0347,,25.75,0.031571,0.028030911,,,-0.0285,128.39,-6.74,0
31/08/1992,8467400,9223500,0.032,0.089295415,6492300,6380.153,,,0.034721,0.0662,0.0415,0.0469,0.0323,978500,6.837,,,6759.6,-0.004777,93,108852,408000,,53.4,,19.7228,12.3667,417.93,0.029590362,,0.0339,,34,0.031479,0.028777536,,,-0.0301,144.4,10.97,0
30/09/1992,8522000,9313200,0.037,0.092842056,6586500,6405.8063,,,0.033817,0.0637,0.038,0.0434,0.0275,994200,6.755,,,6725.8,0.00228,99.2,108887,409000,,49.7,,19.7094,12.39,418.48,0.02960715,,0.0362,,57.563,0.029883,0.0348031,,,-0.0311,155.79,21.74,0
31/10/1992,8522000,9313200,0.037,0.092842056,6586500,6452.181,,,0.035977,0.068,0.044,0.0498,0.0303,1009200,6.755,,,6682.5,0.0077,97.1,109064,365000,,50.3,,19.3709,12.3867,412.5,0.030028364,,0.0377,,60.25,0.032023,0.033159591,,,-0.0298,143.1,13.41,0
30/11/1992,8522000,9313200,0.037,0.092842056,6586500,6484.1998,,,0.039021,0.0695,0.0479,0.0536,0.0338,1017900,6.755,,,6685.9,0.004196,76.4,109204,341000,,53.6,,19.8343,12.3833,422.84,0.029286018,,0.0357,,73,0.030479,0.029274236,,,-0.0273,130.51,10.31,0
31/12/1992,8577400,9406500,0.043,0.096660993,6697600,6544.4191,,,0.037993,0.067,0.0456,0.0512,0.0315,1028400,6.6,,,6922.8,0.000671,79.5,109415,313000,,54.2,,20.4493,12.38,435.64,0.02841796,,0.0355,,35.75,0.029007,0.035506698,,,-0.027,138.19,14.95,0
31/01/1993,8577400,9406500,0.043,0.096660993,6697600,6533.5149,,,0.031315,0.0639,0.042,0.0472,0.0296,1030900,6.6,,,6793.6,0.004773,67.1,109725,340000,,55.8,,20.3241,12.4133,435.23,0.028521242,,0.0343,,35,0.032585,0.042401982,,,-0.0271,140.95,11.2,0
28/02/1993,8577400,9406500,0.043,0.096660993,6697600,6547.6287,,,0.027832,0.0603,0.0392,0.0437,0.0301,1034700,6.6,,,6817.1,0.00369,73.1,109967,362000,,55.2,,20.546,12.4467,441.7,0.028179081,,0.0302,,26.094,0.032468,0.045513041,,,-0.0256,144.06,8.4,0
31/03/1993,8634500,9424100,0.033,0.091447102,6748200,6552.3564,,,0.029431,0.0603,0.0396,0.0442,0.0295,1040400,6.526,,,6794.6,-0.000461,99.1,109916,366000,,53.5,,20.8559,12.48,450.16,0.027723476,,0.0308,,36,0.030869,0.033091388,,,-0.0253,139.21,6.79,0
30/04/1993,8634500,9424100,0.033,0.091447102,6748200,6584.6367,,,0.028242,0.0605,0.0383,0.043,0.0297,1047200,6.526,,,6825.9,0.002999,107.3,110225,350000,,50.2,,20.458,12.4933,443.08,0.028196488,,0.0308,,27.75,0.032258,0.03482455,,,-0.0269,143.33,8.01,0
31/05/1993,8634500,9424100,0.033,0.091447102,6748200,6630.8307,,,0.029388,0.0616,0.0424,0.0463,0.0313,1073000,6.526,,,6814.5,-0.003655,101.7,110490,349000,,51.2,,20.5182,12.5067,445.25,0.028089163,,0.0303,,31.5,0.032212,0.033562773,,,-0.0231,135.5,5.24,0
30/06/1993,8692800,9480100,0.028,0.090569207,6829600,6652.6327,,,0.028043,0.058,0.0403,0.0439,0.031,1077600,6.426,,,6800.8,0.001778,117.8,110663,340000,,49.6,,20.609,12.52,448.06,0.027942686,,0.027,,28.25,0.029957,0.029542599,,,-0.0213,133.56,-3.74,0
31/07/1993,8692800,9480100,0.028,0.090569207,6829600,6644.2846,,,0.030542,0.0583,0.0413,0.045,0.031,1086500,6.426,,,6817.1,0.002889,104.5,110958,356000,,50.2,,20.5652,12.52,447.29,0.027990789,,0.0273,,28.25,0.027758,0.027031254,,,-0.0207,131.6,-4.03,0
31/08/1993,8692800,9480100,0.028,0.090569207,6829600,6679.1075,,,0.026821,0.0545,0.0388,0.042,0.0308,1096800,6.426,,,6826.9,-0.000615,111.9,111119,337000,,50.7,,20.8129,12.52,454.13,0.027569198,,0.0237,,24,0.027679,0.03030459,,,-0.0189,139.65,-5.74,0
30/09/1993,8752400,9526300,0.023,0.088421462,6904200,6741.5078,,,0.027107,0.054,0.0389,0.0424,0.0298,1103900,6.309,,,6809.3,0.004726,111.5,111360,343000,,50.8,,20.9942,12.52,459.24,0.027262434,,0.0242,,45.5,0.026893,0.024532501,,,-0.0186,142.38,4.5,0
31/10/1993,8752400,9526300,0.023,0.088421462,6904200,6749.7669,,,0.026796,0.0543,0.0399,0.043,0.031,1113000,6.309,,,6772.6,0.007655,107,111637,348000,,53.4,,21.1098,12.54,463.9,0.027031688,,0.0233,,40.75,0.027504,0.024617996,,,-0.0175,137.02,-3.22,0
30/11/1993,8752400,9526300,0.023,0.088421462,6904200,6831.1704,,,0.031539,0.0583,0.0422,0.0455,0.0321,1124700,6.309,,,6791.6,0.004066,98.1,111898,337000,,53.8,,21.0386,12.56,462.89,0.027133876,,0.0262,,36,0.026761,0.019961786,,,-0.0194,130.16,-10.9,0
